Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Ayla570,Ayla570,,1,Mentions,1,1,6,0.264297,0.27198,0,21,0,0,0,0.00332
IbnInnocence,IbnInnocence,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
domes_minarets,domes_minarets,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
Abdullaziz_army,Abdullaziz_army,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
Sam76429815,Sam76429815,,1,Mentions,1,1,9,0.16938,0.172172,0,17,0,0,0,0.000482
Eth_io,Eth_io,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
Gunslingerboy_,Gunslingerboy_,,5,Mentions,3,5,6,0.326331,0.353128,0,3,0,1,3,0.053527
UWT_UK,UWT_UK,,2,Mentions,1,2,7,0.251215,0.257983,0,12,0,0,0,0.003047
burhan__shah01,burhan__shah01,,4,Mentions,1,4,6,0.269112,0.280749,0,17,0,0,0,0.008397
albelgikiya10,albelgikiya10,,1,Mentions,1,1,7,0.24104,0.247296,0,19,0,0,0,0.001789
MADANI_SMS,MADANI_SMS,,3,Mentions,1,3,7,0.259631,0.26849,0,11,0,0,0,0.003557
MuwMedia,MuwMedia,,4,Mentions,1,4,9,0.165881,0.169513,0,23,0,0,0,0.000816
ZeddRebel,ZeddRebel,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
Gunslinger__G,Gunslinger__G,,5,Mentions,2,5,6,0.313293,0.33558,0.000178,15,0,0,0,0.032109
Angry_Hassan,Angry_Hassan,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
iets451,iets451,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
Barbe_Courte,Barbe_Courte,,1,Mentions,1,1,7,0.268544,0.281999,0,3,0,0,0,0.006849
Yemen411,Yemen411,,1,Mentions,1,1,6,0.279193,0.290219,0,3,0,0,0,0.005987
Scholarsofhaq75,Scholarsofhaq75,,3,Mentions,3,3,6,0.276395,0.292097,0.000245,8,0,0.333333,1,0.015105
AllahsFavours,AllahsFavours,,1,Mentions,1,1,7,0.259631,0.26849,0,11,0,0,0,0.003557
foreignpolicy,foreignpolicy,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
Trendulkar,Trendulkar,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
NBCNews,NBCNews,,2,Mentions,2,2,6,0.29291,0.308522,0,2,0,1,1,0.017203
KreaseChan,KreaseChan,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
xaviservitja,xaviservitja,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
__AbuDujanah,__AbuDujanah,,1,Mentions,1,1,7,0.254089,0.263841,0,3,0,0,0,0.002729
biblio_phile__,biblio_phile__,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
PierrePuchot,PierrePuchot,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
AlphaSaylici,AlphaSaylici,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
support__7220,support__7220,,2,Mentions,1,2,6,0.279193,0.290219,0,3,0,0,0,0.005987
Js8twitto23,Js8twitto23,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
ERRRhabi,ERRRhabi,,1,Mentions,1,1,7,0.256631,0.264869,0,18,0,0,0,0.002979
1WGodd3H1lBtiz1,1WGodd3H1lBtiz1,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
iQ_i92,iQ_i92,,3,Mentions,1,3,7,0.268544,0.281999,0,3,0,0,0,0.006849
abu14315,abu14315,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
SandKhilafah,SandKhilafah,,4,Mentions,2,4,6,0.296718,0.31296,0.000166,0,0,0,0,0.018589
ye_wenjie,ye_wenjie,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
Ayy_Salafi,Ayy_Salafi,,1,Mentions,1,1,6,0.271541,0.281434,0,10,0,0,0,0.006624
Muslimwitness4,Muslimwitness4,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
strawberriiiiiy,strawberriiiiiy,,6,Mentions,1,6,6,0.269112,0.280749,0,17,0,0,0,0.008397
Levantinegroup,Levantinegroup,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
Ibn_Sayyid,Ibn_Sayyid,,18,Mentions,2,18,6,0.31656,0.340163,0,15,0,1,1,0.03717
Hamza2906014,Hamza2906014,,1,Mentions,1,1,7,0.260695,0.271161,0,17,0,0,0,0.002556
klakishink,klakishink,,1,Mentions,1,1,7,0.256631,0.264869,0,18,0,0,0,0.002979
stf_12h,stf_12h,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
NuhMark,NuhMark,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
F1ea1337,F1ea1337,,5,Mentions,3,5,6,0.317441,0.340692,0.000121,15,0,0.333333,1,0.039389
elturkiiy,elturkiiy,,1,Mentions,1,1,7,0.242098,0.248752,0,18,0,0,0,0.001187
FleeFromDunya,FleeFromDunya,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
NewsAsItComes,NewsAsItComes,,1,Mentions,1,1,6,0.26707,0.27667,0,13,0,0,0,0.006184
balkhi_a,balkhi_a,,3,Mentions,1,3,6,0.293663,0.308991,0,0,0,0,0,0.016358
p_vanostaeyen,p_vanostaeyen,,28,Mentions,13,28,6,0.38652,0.413418,0.00239,0,0,0.384615,30,0.129195
mediapart,mediapart,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
MonitorWar,MonitorWar,,2,Mentions,1,2,6,0.266404,0.275743,0,8,0,0,0,0.003991
arabianofelix,arabianofelix,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
dread_muslem,dread_muslem,,1,Mentions,1,1,7,0.246536,0.253445,0,4,0,0,0,0.002023
zaidbenjamin,zaidbenjamin,,13,Mentions,4,13,6,0.328502,0.355042,0.000295,0,0,0.166667,1,0.056654
ghkuuhh,ghkuuhh,,1,Mentions,1,1,7,0.254089,0.263841,0,3,0,0,0,0.002729
archicivilians,archicivilians,,5,Mentions,5,5,6,0.30856,0.325607,0.000307,10,0,0.1,1,0.025787
DaRealSinbad,DaRealSinbad,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
quranic_inspire,quranic_inspire,,1,Mentions,1,1,7,0.24637,0.254061,0,19,0,0,0,0.002232
