Source,Target,Type,Id,Label,timeset,Weight
mod_russia,Uncle_SamCoco,Undirected,282,,,2
kasimf,CXaafada2,Undirected,283,,,1
abutariq041,Companions01,Undirected,284,,,1
nzayed07,Alwala_bara,Undirected,285,,,1
Uncle_SamCoco,CedricMas,Undirected,286,,,4
abuayisha108,MiddleEastEye,Undirected,287,,,1
RamiAlLolah,Dartanveerahmad,Undirected,288,,,2
warrnews,Pachaconsumer,Undirected,289,,,1
charliewinter,RamiAlLolah,Undirected,290,,,1
MaghrabiArabi,Jazrawi_Aden,Undirected,291,,,4
RamiAlLolah,KhateebDimashqi,Undirected,292,,,1
omeisy,lNSlDEWAR,Undirected,293,,,1
z_r_q_a_w_ya295,432Mryam,Undirected,294,,,1
absialbaghdadi,MaghrabiArabi,Undirected,295,,,1
abutariq040,OmarKhattabHar7,Undirected,296,,,1
RamiAlLolah,EmadHajjaj,Undirected,297,,,1
WarReporter1,Jubasniper12,Undirected,298,,,1
WavveyMo,MaghrebiQM,Undirected,299,,,2
warreporter2,VictorySeries1,Undirected,300,,,1
Tmgneff,MaghrabiArabi,Undirected,301,,,1
NewsAsItComes,AsimAbuMerjem,Undirected,302,,,1
MonitorWar,Fidaee_Fulaani,Undirected,303,,,2
Sealednectar_,MilkSheikh2,Undirected,304,,,1
MhzBnt,Hjrh_12_Jhad,Undirected,305,,,1
wayf44rerr,aid_britani,Undirected,306,,,1
adlenmeddi,Uncle_SamCoco,Undirected,307,,,1
skx66x,Bajwa47online,Undirected,308,,,2
mobi_ayubi,Syria_Protector,Undirected,309,,,1
IbnKashmir_,AbdugheniSabit,Undirected,310,,,1
RamiAlLolah,MouminSawady,Undirected,311,,,2
WarReporter1,JooniIsrar,Undirected,312,,,6
__alfresco__,Nidalgazaui,Undirected,313,,,2
whoamidude,QassamiMarwan,Undirected,314,,,1
magorient,Uncle_SamCoco,Undirected,315,,,1
wayf44rerr,Reuters,Undirected,316,,,4
UNHCR,RamiAlLolah,Undirected,317,,,1
warreporter2,anouaralzarzisi,Undirected,318,,,1
Uncle_SamCoco,MediaPmoffice,Undirected,319,,,2
towersight,MaghrabiArabi,Undirected,320,,,1
EjmAlrai,Bajwa47online,Undirected,321,,,4
thefIamesofhaqq,Islamistheway14,Undirected,322,,,2
WhiteCat_7,UANigeri,Undirected,323,,,1
warrnews,BreakingNews,Undirected,324,,,1
alamreeki4,_b1vrnas1ha_,Undirected,325,,,1
WarReporter1,Hjrah_Jhad_13,Undirected,326,,,1
murasil1,PrinceOfFreakz,Undirected,327,,,2
mobi_ayubi,WarReporter1,Undirected,328,,,39
warrnews,dkcagara,Undirected,329,,,1
striv3r_,Abu_Azzzam25,Undirected,330,,,1
markito0171,Nidalgazaui,Undirected,331,,,1
VOANews,Uncle_SamCoco,Undirected,332,,,1
safiyaimback,MuslimPrisoners,Undirected,333,,,2
MaghrabiArabi,KhateebDimashqi,Undirected,334,,,2
lNSlDEWAR,RamiAlLolah,Undirected,335,,,3
witness_muslim,IbnKashmir_,Undirected,336,,,3
warreporter2,Bringerpeace,Undirected,337,,,1
squadsquaaaaad,erhabii38,Undirected,338,,,1
abuhumayra4,Barakacity,Undirected,339,,,1
mickeyc,WarReporter1,Undirected,340,,,1
moustiklash,MaghrebiRDC,Undirected,341,,,5
WarReporter1,BarzanSadiq,Undirected,342,,,1
sakirkhader,Uncle_SamCoco,Undirected,343,,,1
wayf44rerr,warreports,Undirected,344,,,3
WarReporter1,ShamiConquest,Undirected,345,,,1
NaseemAhmed50,Hanisalaad1,Undirected,346,,,1
DawlaWitness11,1OneTawheed,Undirected,347,,,1
mobi_ayubi,Q_QKMN,Undirected,348,,,2
mirxank,WarReporter1,Undirected,349,,,3
ismailmahsud,ajmalkwazir,Undirected,350,,,1
Reuters,Bajwa47online,Undirected,351,,,1
RamiAlLolah,DrNosra,Undirected,352,,,1
abutariq041,Umm_Lina90,Undirected,353,,,1
WarReporter1,ImtiyazAzhar,Undirected,354,,,2
st3erer,WorldWarTerror,Undirected,355,,,1
st3erer,dhjxjdjsjshxhx,Undirected,356,,,1
Nidalgazaui,BilalIbnRabah1,Undirected,357,,,1
ShortHadiths,IbnKashmir_,Undirected,358,,,11
ismailmahsud,awoklb,Undirected,359,,,1
AmarAmarasingam,Abu_Azzzam25,Undirected,360,,,2
wayf44rerr,IQsunni,Undirected,361,,,4
abdlrhmn15,DanieleRaineri,Undirected,362,,,1
MaghrebiHD,Conflicts,Undirected,363,,,1
erhabi37,432Mryam,Undirected,364,,,1
alamreeki4,RamiAlLolah,Undirected,365,,,2
deenahsn,Uncle_SamCoco,Undirected,366,,,1
__alfresco__,HooodMz2,Undirected,367,,,3
altafhussain195,al_nusra,Undirected,368,,,1
murasil1,WarReporter1,Undirected,369,,,4
abdlrhmn15,ShamiReviver,Undirected,370,,,1
warrnews,drerdogan_001,Undirected,371,,,1
cadowgaga_garo,MilkSheikh2,Undirected,372,,,2
WhiteCat_7,Somaliyyah,Undirected,373,,,9
